Timestamp,BPM,RRIntervals
1779182870397,94,"[629,629,636,636,636,636,636,636,636,636,636,636,636,636,643,643,643,643,643,650]"
1779182869898,93,"[629,629,636,636,636,636,636,636,636,636,636,636,636,636,643,643,643,643,643,650]"
1779182869399,93,"[629,636,636,636,636,636,636,636,636,636,636,636,636,643,643,643,643,643,650,650]"
1779182868900,92,"[636,636,636,636,636,636,636,636,636,636,636,636,643,643,643,643,643,650,650,658]"
1779182868400,92,"[636,636,636,636,636,636,636,636,636,636,636,643,643,643,643,643,650,650,658,658]"
1779182867902,92,"[636,636,636,636,636,636,636,636,636,636,643,643,643,643,643,650,650,658,658,658]"
1779182867403,92,"[636,636,636,636,636,636,636,636,636,643,643,643,643,643,650,650,658,658,658,658]"
1779182866906,92,"[636,636,636,636,636,636,636,636,643,643,643,643,643,650,650,658,658,658,658,658]"
1779182866406,92,"[636,636,636,636,636,636,636,643,643,643,643,643,650,650,658,658,658,658,658,658]"
1779182865908,92,"[636,636,636,636,636,636,643,643,643,643,643,650,650,658,658,658,658,658,658,665]"
1779182865409,92,"[636,636,636,636,636,643,643,643,643,643,650,650,658,658,658,658,658,658,665,665]"
1779182864910,92,"[636,636,636,636,643,643,643,643,643,650,650,658,658,658,658,658,658,665,665,672]"
1779182864411,92,"[636,636,636,643,643,643,643,643,650,650,658,658,658,658,658,658,665,665,672,672]"
1779182863912,92,"[636,636,643,643,643,643,643,650,650,658,658,658,658,658,658,665,665,672,672,672]"
1779182863416,92,"[636,643,643,643,643,643,650,650,658,658,658,658,658,658,665,665,672,672,672,672]"
1779182862915,91,"[643,643,643,643,643,650,650,658,658,658,658,658,658,665,665,672,672,672,672,680]"
1779182862416,91,"[643,643,643,643,650,650,658,658,658,658,658,658,665,665,672,672,672,672,680,680]"
1779182861917,91,"[643,643,643,650,650,658,658,658,658,658,658,665,665,672,672,672,672,680,680,680]"
1779182861419,91,"[643,643,650,650,658,658,658,658,658,658,665,665,672,672,672,672,680,680,680,680]"
1779182860920,91,"[643,650,650,658,658,658,658,658,658,665,665,672,672,672,672,680,680,680,680,680]"
1779182860422,90,"[650,650,658,658,658,658,658,658,665,665,672,672,672,672,680,680,680,680,680,680]"
1779182859923,90,"[650,658,658,658,658,658,658,665,665,672,672,672,672,680,680,680,680,680,680,680]"
1779182859424,89,"[658,658,658,658,658,658,665,665,672,672,672,672,680,680,680,680,680,680,680,680]"
1779182858925,89,"[658,658,658,658,658,665,665,672,672,672,672,680,680,680,680,680,680,680,680,672]"
1779182858426,89,"[658,658,658,658,665,665,672,672,672,672,680,680,680,680,680,680,680,680,672,672]"
1779182857928,89,"[658,658,658,665,665,672,672,672,672,680,680,680,680,680,680,680,680,672,672,665]"
1779182857927,89,"[658,658,665,665,672,672,672,672,680,680,680,680,680,680,680,680,672,672,665,658]"
1779182856931,89,"[658,665,665,672,672,672,672,680,680,680,680,680,680,680,680,672,672,665,658,658]"
1779182856432,88,"[665,665,672,672,672,672,680,680,680,680,680,680,680,680,672,672,665,658,658,643]"
1779182855933,88,"[665,672,672,672,672,680,680,680,680,680,680,680,680,672,672,665,658,658,643,636]"
1779182855434,87,"[672,672,672,672,680,680,680,680,680,680,680,680,672,672,665,658,658,643,636,623]"
1779182854936,87,"[672,672,672,680,680,680,680,680,680,680,680,672,672,665,658,658,643,636,623,623]"
1779182854436,87,"[672,672,680,680,680,680,680,680,680,680,672,672,665,658,658,643,636,623,623,623]"
